Netid State  Recv-Q Send-Q                                         Local Address:Port          Peer Address:Port  Process                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
u_str ESTAB  0      0                                                          * 17480                    * 17481  users:(("gsd-datetime",pid=2187,fd=2),("gsd-datetime",pid=2187,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
u_str ESTAB  0      0                                                          * 16500                    * 15854  users:(("gnome-session-b",pid=1916,fd=3),("gnome-session-b",pid=1916,fd=2),("gnome-session-b",pid=1916,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
u_str ESTAB  0      0                                /run/dbus/system_bus_socket 8571                     * 8506   users:(("dbus-daemon",pid=685,fd=12))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
u_str ESTAB  0      0                                /run/dbus/system_bus_socket 17594                    * 17083  users:(("dbus-daemon",pid=685,fd=74))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
u_str ESTAB  0      0                                                          * 15799                    * 15800  users:(("fusermount3",pid=1962,fd=7))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
u_str ESTAB  0      0                                                          * 17213                    * 17896  users:(("gnome-shell",pid=2065,fd=81))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
u_dgr ESTAB  0      0                                                          * 8877                     * 4296   users:(("ModemManager",pid=933,fd=5))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
u_dgr UNCONN 0      0                                                          * 17041                    * 0      users:(("at-spi2-registr",pid=2138,fd=9))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
u_str ESTAB  0      0                                                          * 16421                    * 15652  users:(("gdm-wayland-ses",pid=1893,fd=5))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
u_str ESTAB  0      0                                                          * 12057                    * 12059  users:(("cups-browsed",pid=1321,fd=2),("cups-browsed",pid=1321,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
u_str ESTAB  0      0                                                          * 37667                    * 37668  users:(("pipewire-pulse",pid=1843,fd=32))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
u_str ESTAB  0      0                                                          * 22480                    * 20287  users:(("firefox",pid=2906,fd=17))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
u_str ESTAB  0      0                                                          * 17274                    * 17969  users:(("ibus-extension-",pid=2413,fd=11))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
u_str ESTAB  0      0                                                          * 17513                    * 17514  users:(("gsd-disk-utilit",pid=2267,fd=7))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
u_dgr UNCONN 0      0                                                          * 9579                     * 0      users:(("gnome-remote-de",pid=690,fd=6))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
u_str ESTAB  0      0                                /run/systemd/journal/stdout 17593                    * 17080  users:(("systemd-journal",pid=250,fd=112),("systemd",pid=1,fd=191))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
u_str ESTAB  0      0                                                          * 9589                     * 8829   users:(("gnome-remote-de",pid=690,fd=7))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
u_str ESTAB  136    0                                                          * 17215                    * 17909  users:(("gsd-media-keys",pid=2190,fd=10))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
u_str ESTAB  0      0                                                          * 17045                    * 17193  users:(("gsd-wacom",pid=2206,fd=3))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
u_str ESTAB  0      0                                /run/systemd/journal/stdout 16420                    * 15645  users:(("systemd-journal",pid=250,fd=90),("systemd",pid=1,fd=139))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
u_str ESTAB  0      0                                                          * 22637                    * 22638  users:(("snap",pid=3142,fd=2))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
u_str ESTAB  0      0                                /run/dbus/system_bus_socket 22519                    * 22518  users:(("dbus-daemon",pid=685,fd=23))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
u_str ESTAB  0      0                                /run/systemd/journal/stdout 17481                    * 17480  users:(("systemd-journal",pid=250,fd=119),("systemd",pid=1,fd=179))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
u_str ESTAB  0      0                                                          * 15421                    * 15422  users:(("dbus-daemon",pid=1849,fd=2),("dbus-daemon",pid=1849,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
u_str ESTAB  0      0                                                          * 8506                     * 8571   users:(("power-profiles-",pid=717,fd=5))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
u_str ESTAB  0      0                                                          * 35177                    * 34319  users:(("(sd-pam",pid=5879,fd=2),("(sd-pam",pid=5879,fd=1),("systemd",pid=5877,fd=2),("systemd",pid=5877,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
u_str ESTAB  0      0                                                          * 18511                    * 18341  users:(("gnome-terminal.",pid=2751,fd=10))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
u_str ESTAB  0      0                                                          * 17255                    * 17955  users:(("evolution-alarm",pid=2224,fd=11))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
u_str ESTAB  0      768                                       /run/user/1000/bus 17909                    * 17215  users:(("dbus-daemon",pid=1849,fd=65))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
u_str ESTAB  0      0                                /run/systemd/journal/stdout 17500                    * 17032  users:(("systemd-journal",pid=250,fd=126),("systemd",pid=1,fd=187))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
u_dgr UNCONN 0      0                                                          * 16636                    * 0      users:(("gnome-shell",pid=2065,fd=9))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
u_dgr UNCONN 0      0                                                          * 15498                    * 0      users:(("pipewire",pid=1835,fd=28))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
u_str ESTAB  0      0                                /run/systemd/journal/stdout 16456                    * 15793  users:(("systemd-journal",pid=250,fd=92),("systemd",pid=1,fd=141))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
u_dgr ESTAB  0      0                                                          * 9482                     * 4298   users:(("systemd-logind",pid=752,fd=3))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
u_str ESTAB  0      768                                       /run/user/1000/bus 17263                    * 17260  users:(("dbus-daemon",pid=1849,fd=72))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
u_str ESTAB  0      0                                         /run/user/1000/bus 17486                    * 17485  users:(("dbus-daemon",pid=1849,fd=35))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
u_str ESTAB  0      0                                                          * 16452                    * 16453  users:(("xdg-document-po",pid=1937,fd=2),("xdg-document-po",pid=1937,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
u_str ESTAB  0      0                                                          * 37636                    * 37637  users:(("gjs",pid=6666,fd=23))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
u_str ESTAB  0      0                                                          * 17544                    * 17545  users:(("goa-daemon",pid=2324,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
u_str ESTAB  0      0                                /run/systemd/journal/stdout 11428                    * 11427  users:(("systemd-journal",pid=250,fd=43),("systemd",pid=1,fd=119))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
u_dgr UNCONN 0      0                                                          * 17657                    * 0      users:(("goa-daemon",pid=2324,fd=3))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
u_str ESTAB  0      0                                         /run/user/1000/bus 17510                    * 17036  users:(("dbus-daemon",pid=1849,fd=37))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
u_str ESTAB  0      0                                                          * 17217                    * 17218  users:(("snapd-desktop-i",pid=2147,fd=11))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
u_str ESTAB  0      0                                                          * 17086                    * 0      users:(("gsd-print-notif",pid=2192,fd=7))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
u_str ESTAB  0      0                                /run/dbus/system_bus_socket 16418                    * 15641  users:(("dbus-daemon",pid=685,fd=42))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
u_str ESTAB  0      0                                  /run/user/1000/pipewire-0 37668                    * 37667  users:(("pipewire",pid=1835,fd=55))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
u_str ESTAB  0      0                                /run/dbus/system_bus_socket 34331                    * 35226  users:(("dbus-daemon",pid=685,fd=36))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
u_str ESTAB  0      0                                         /run/user/1000/bus 16143                    * 16633  users:(("dbus-daemon",pid=1849,fd=22))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
u_str ESTAB  0      0                                                          * 16433                    * 16434  users:(("gdm-wayland-ses",pid=1893,fd=8))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
u_str ESTAB  0      0                                                          * 22479                    * 20284  users:(("firefox",pid=2906,fd=12))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
u_str ESTAB  0      0                                                          * 17276                    * 17974  users:(("gsd-xsettings",pid=2559,fd=3))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
u_str ESTAB  0      0                                /run/dbus/system_bus_socket 13443                    * 14395  users:(("dbus-daemon",pid=685,fd=46))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
