COMMAND      PID                 USER   FD   TYPE             DEVICE SIZE/OFF   NODE NAME
systemd        1                 root  137u  unix 0xffff8df5966ddc00      0t0  15473 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  138u  unix 0xffff8df59e43ec00      0t0  16419 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  139u  unix 0xffff8df59e43d000      0t0  16420 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  140u  unix 0xffff8df5813c7000      0t0  16453 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  141u  unix 0xffff8df59e43cc00      0t0  16456 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  142u  unix 0xffff8df5b4a62000      0t0  15854 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  143u  unix 0xffff8df59e43f400      0t0  15873 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  144u  unix 0xffff8df5b4a63400      0t0  15916 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  149u  unix 0xffff8df6267d9c00      0t0 251006 type=DGRAM (CONNECTED)
systemd        1                 root  150u  unix 0xffff8df5a3fccc00      0t0  15929 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  151u  unix 0xffff8df5a3fce000      0t0  16577 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  152u  unix 0xffff8df6267dac00      0t0 251007 type=DGRAM (CONNECTED)
systemd        1                 root  155u  unix 0xffff8df5a3fdac00      0t0  16089 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  156u  unix 0xffff8df5b4a63c00      0t0  16108 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  157u  unix 0xffff8df5b4a79000      0t0  16282 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  158u  unix 0xffff8df5b4a78000      0t0  16283 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  159u  unix 0xffff8df68bf12000      0t0 251009 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  160u  unix 0xffff8df5a3fd9400      0t0  16303 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  161u  unix 0xffff8df5a3fd8400      0t0  16312 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  162u  unix 0xffff8df5a3fecc00      0t0  16314 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  164u  unix 0xffff8df5a3fef400      0t0  16332 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  165u  unix 0xffff8df5b4a4e000      0t0  16378 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  167u  unix 0xffff8df5b4a4d000      0t0  17413 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  172u  unix 0xffff8df5b4a4f000      0t0  17451 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  173u  unix 0xffff8df5b4a5a800      0t0  17463 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  174u  unix 0xffff8df5a3fec000      0t0  17462 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  176u  unix 0xffff8df5b4a5b800      0t0  17470 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  178u  unix 0xffff8df5b4a5a400      0t0  17471 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  179u  unix 0xffff8df5b5df6400      0t0  17481 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  180u  unix 0xffff8df5b4a59800      0t0  17487 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  181u  unix 0xffff8df5b4a59c00      0t0  17488 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  182u  unix 0xffff8df5b4a5bc00      0t0  17492 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  183u  unix 0xffff8df5b4a59400      0t0  17496 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  184u  unix 0xffff8df5c40ce800      0t0  17497 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  185u  unix 0xffff8df5c40cf800      0t0  17498 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  186u  unix 0xffff8df5c40ce400      0t0  17499 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  187u  unix 0xffff8df5c40cd800      0t0  17500 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  188u  unix 0xffff8df5b4a4c400      0t0  17545 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  190u  unix 0xffff8df5b4a4dc00      0t0  17547 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  191u  unix 0xffff8df5c410d800      0t0  17593 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  192u  unix 0xffff8df5c4141800      0t0  17690 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  194u  unix 0xffff8df5c410c800      0t0  17693 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  195u  unix 0xffff8df5c410ec00      0t0  17694 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  196u  unix 0xffff8df5c4155400      0t0  17705 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  200u  unix 0xffff8df5c4156800      0t0  17707 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  201u  unix 0xffff8df5c4149c00      0t0  17761 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  202u  unix 0xffff8df5c4148400      0t0  17762 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  204u  unix 0xffff8df5b4a7ac00      0t0  17768 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  206u  unix 0xffff8df581239400      0t0  17780 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  207u  unix 0xffff8df5c4164400      0t0  17798 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  209u  unix 0xffff8df5c414c800      0t0  17890 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  210u  unix 0xffff8df5c8ba7400      0t0  17968 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  214u  unix 0xffff8df5c8ba0400      0t0  18130 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  215u  unix 0xffff8df5c8ba1c00      0t0  18131 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  217u  unix 0xffff8df5b13a0800      0t0  18205 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  218u  unix 0xffff8df5b13a2c00      0t0  18237 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  219u  unix 0xffff8df5c8ba2000      0t0  18239 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  221u  unix 0xffff8df59e415c00      0t0  18278 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  222u  unix 0xffff8df5966b6800      0t0  18292 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  223u  unix 0xffff8df58668ac00      0t0  18516 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  224u  unix 0xffff8df5c8ba9c00      0t0  19609 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  225u  unix 0xffff8df5b13cd400      0t0  22382 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  226u  unix 0xffff8df586668800      0t0  22636 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  227u  unix 0xffff8df5966dcc00      0t0  22638 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  228u  unix 0xffff8df5b13c3400      0t0  24401 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  229u  unix 0xffff8df5b13c0000      0t0  25972 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  231u  unix 0xffff8df581238800      0t0  34319 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  232u  unix 0xffff8df5b4a78800      0t0  35286 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  233u  unix 0xffff8df5b4a7a800      0t0  35339 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  234u  unix 0xffff8df5c8baa400      0t0  35371 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  235u  unix 0xffff8df5966ba000      0t0  35374 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  239u  unix 0xffff8df683ba2800      0t0   7962 /run/snapd.socket type=STREAM (LISTEN)
systemd        1                 root  240u  unix 0xffff8df683ba3800      0t0   7963 /run/snapd-snap.socket type=STREAM (LISTEN)
systemd        1                 root  247u  unix 0xffff8df683ba2c00      0t0   7961 /run/dbus/system_bus_socket type=STREAM (LISTEN)
systemd        1                 root  265u  unix 0xffff8df682c64000      0t0   4294 /run/systemd/fsck.progress type=STREAM (LISTEN)
systemd        1                 root  276u  unix 0xffff8df682c64400      0t0   4296 /run/systemd/journal/dev-log type=DGRAM (CONNECTED)
systemd        1                 root  282u  unix 0xffff8df682c65000      0t0   4298 /run/systemd/journal/socket type=DGRAM (CONNECTED)
systemd        1                 root  285u  unix 0xffff8df682c65800      0t0   4300 /run/systemd/journal/stdout type=STREAM (LISTEN)
systemd        1                 root  378u  unix 0xffff8df683ba1800      0t0   7960 /run/cups/cups.sock type=STREAM (LISTEN)
systemd        1                 root  381u  unix 0xffff8df683ba0000      0t0   7968 /run/uuidd/request type=STREAM (LISTEN)
systemd        1                 root  400u  unix 0xffff8df682c65c00      0t0   4293 /run/systemd/journal/syslog type=DGRAM (UNCONNECTED)
systemd        1                 root  418u  unix 0xffff8df682c64c00      0t0   4304 /run/udev/control type=SEQPACKET (LISTEN)
systemd-j    250                 root    3u  unix 0xffff8df682c65000      0t0   4298 /run/systemd/journal/socket type=DGRAM (CONNECTED)
systemd-j    250                 root    4u  unix 0xffff8df682c65800      0t0   4300 /run/systemd/journal/stdout type=STREAM (LISTEN)
systemd-j    250                 root    5u  unix 0xffff8df682c64400      0t0   4296 /run/systemd/journal/dev-log type=DGRAM (CONNECTED)
systemd-j    250                 root    9u  unix 0xffff8df683ba0400      0t0   4366 /run/systemd/journal/io.systemd.journal type=STREAM (LISTEN)
