total 0
dr-x------ 2 root root 248 Nov 20 03:38 .
dr-xr-xr-x 9 root root   0 Nov 20 03:38 ..
lrwx------ 1 root root  64 Nov 23 12:18 190 -> socket:[17547]
lrwx------ 1 root root  64 Nov 23 12:18 191 -> socket:[17593]
lrwx------ 1 root root  64 Nov 23 12:18 192 -> socket:[17690]
lrwx------ 1 root root  64 Nov 23 12:18 194 -> socket:[17693]
lrwx------ 1 root root  64 Nov 23 12:18 195 -> socket:[17694]
lrwx------ 1 root root  64 Nov 23 12:18 196 -> socket:[17705]
lrwx------ 1 root root  64 Nov 20 03:38 2 -> /dev/null
lrwx------ 1 root root  64 Nov 23 12:18 20 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:18 200 -> socket:[17707]
lrwx------ 1 root root  64 Nov 23 12:18 201 -> socket:[17761]
lrwx------ 1 root root  64 Nov 23 12:18 202 -> socket:[17762]
lrwx------ 1 root root  64 Nov 23 12:18 204 -> socket:[17768]
lrwx------ 1 root root  64 Nov 23 12:18 206 -> socket:[17780]
lrwx------ 1 root root  64 Nov 23 12:18 207 -> socket:[17798]
lrwx------ 1 root root  64 Nov 23 12:18 209 -> socket:[17890]
lrwx------ 1 root root  64 Nov 23 12:18 21 -> socket:[4276]
lrwx------ 1 root root  64 Nov 23 12:18 210 -> socket:[17968]
lrwx------ 1 root root  64 Nov 23 12:18 214 -> socket:[18130]
lrwx------ 1 root root  64 Nov 23 12:18 215 -> socket:[18131]
lrwx------ 1 root root  64 Nov 23 12:18 217 -> socket:[18205]
lrwx------ 1 root root  64 Nov 23 12:18 218 -> socket:[18237]
lrwx------ 1 root root  64 Nov 23 12:18 219 -> socket:[18239]
lrwx------ 1 root root  64 Nov 20 03:38 22 -> socket:[4278]
lrwx------ 1 root root  64 Nov 23 12:18 221 -> socket:[18278]
lrwx------ 1 root root  64 Nov 23 12:18 222 -> socket:[18292]
lrwx------ 1 root root  64 Nov 23 12:18 223 -> socket:[18516]
lrwx------ 1 root root  64 Nov 23 12:17 224 -> socket:[19609]
lrwx------ 1 root root  64 Nov 23 12:18 225 -> socket:[22382]
lrwx------ 1 root root  64 Nov 23 12:18 226 -> socket:[22636]
lrwx------ 1 root root  64 Nov 23 12:18 227 -> socket:[22638]
lrwx------ 1 root root  64 Nov 23 12:18 228 -> socket:[24401]
