74378e1ff000-74378e204000 r--p 00000000 08:02 1314014                    /usr/lib/php/20230831/sqlite3.so
74378e204000-74378e20d000 r-xp 00005000 08:02 1314014                    /usr/lib/php/20230831/sqlite3.so
74378e20d000-74378e210000 r--p 0000e000 08:02 1314014                    /usr/lib/php/20230831/sqlite3.so
74378e210000-74378e212000 r--p 00010000 08:02 1314014                    /usr/lib/php/20230831/sqlite3.so
74378e212000-74378e213000 rw-p 00012000 08:02 1314014                    /usr/lib/php/20230831/sqlite3.so
74378e213000-74378e218000 r--p 00000000 08:02 1315721                    /usr/lib/php/20230831/sockets.so
74378e218000-74378e226000 r-xp 00005000 08:02 1315721                    /usr/lib/php/20230831/sockets.so
74378e226000-74378e22b000 r--p 00013000 08:02 1315721                    /usr/lib/php/20230831/sockets.so
74378e22b000-74378e22e000 r--p 00017000 08:02 1315721                    /usr/lib/php/20230831/sockets.so
74378e22e000-74378e22f000 rw-p 0001a000 08:02 1315721                    /usr/lib/php/20230831/sockets.so
74378e22f000-74378e23d000 r--p 00000000 08:02 929551                     /usr/lib/x86_64-linux-gnu/libtinfo.so.6.4
74378e23d000-74378e250000 r-xp 0000e000 08:02 929551                     /usr/lib/x86_64-linux-gnu/libtinfo.so.6.4
74378e250000-74378e25e000 r--p 00021000 08:02 929551                     /usr/lib/x86_64-linux-gnu/libtinfo.so.6.4
74378e25e000-74378e262000 r--p 0002e000 08:02 929551                     /usr/lib/x86_64-linux-gnu/libtinfo.so.6.4
74378e262000-74378e263000 rw-p 00032000 08:02 929551                     /usr/lib/x86_64-linux-gnu/libtinfo.so.6.4
74378e263000-74378e26b000 r--p 00000000 08:02 929084                     /usr/lib/x86_64-linux-gnu/libedit.so.2.0.72
74378e26b000-74378e28a000 r-xp 00008000 08:02 929084                     /usr/lib/x86_64-linux-gnu/libedit.so.2.0.72
74378e28a000-74378e296000 r--p 00027000 08:02 929084                     /usr/lib/x86_64-linux-gnu/libedit.so.2.0.72
74378e296000-74378e298000 r--p 00033000 08:02 929084                     /usr/lib/x86_64-linux-gnu/libedit.so.2.0.72
74378e298000-74378e299000 rw-p 00035000 08:02 929084                     /usr/lib/x86_64-linux-gnu/libedit.so.2.0.72
74378e299000-74378e29d000 rw-p 00000000 00:00 0 
74378e29d000-74378e2a1000 r--p 00000000 08:02 1315829                    /usr/lib/php/20230831/simplexml.so
74378e2a1000-74378e2a9000 r-xp 00004000 08:02 1315829                    /usr/lib/php/20230831/simplexml.so
74378e2a9000-74378e2ab000 r--p 0000c000 08:02 1315829                    /usr/lib/php/20230831/simplexml.so
74378e2ab000-74378e2ac000 r--p 0000e000 08:02 1315829                    /usr/lib/php/20230831/simplexml.so
74378e2ac000-74378e2ad000 rw-p 0000f000 08:02 1315829                    /usr/lib/php/20230831/simplexml.so
74378e2ad000-74378e2b0000 r--p 00000000 08:02 1315740                    /usr/lib/php/20230831/readline.so
74378e2b0000-74378e2b4000 r-xp 00003000 08:02 1315740                    /usr/lib/php/20230831/readline.so
74378e2b4000-74378e2b5000 r--p 00007000 08:02 1315740                    /usr/lib/php/20230831/readline.so
74378e2b5000-74378e2b6000 r--p 00008000 08:02 1315740                    /usr/lib/php/20230831/readline.so
74378e2b6000-74378e2b7000 rw-p 00009000 08:02 1315740                    /usr/lib/php/20230831/readline.so
74378e2b7000-74378e2bf000 r--p 00000000 08:02 1315718                    /usr/lib/php/20230831/phar.so
74378e2bf000-74378e2ed000 r-xp 00008000 08:02 1315718                    /usr/lib/php/20230831/phar.so
74378e2ed000-74378e2fb000 r--p 00036000 08:02 1315718                    /usr/lib/php/20230831/phar.so
74378e2fb000-74378e2fe000 r--p 00044000 08:02 1315718                    /usr/lib/php/20230831/phar.so
74378e2fe000-74378e2ff000 rw-p 00047000 08:02 1315718                    /usr/lib/php/20230831/phar.so
74378e2ff000-74378e31f000 r--p 00000000 08:02 917643                     /usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6
74378e31f000-74378e42a000 r-xp 00020000 08:02 917643                     /usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6
74378e42a000-74378e45e000 r--p 0012b000 08:02 917643                     /usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6
